Last_updated,DAM_ID,Project name,Continent,Country,Main_river,Major_Basin,Capacity (MW),Ref_cap,Lat_2016,Lon_2016,Stage,Ref_stage,Start,End,Ref_time,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5
Mar-15,4008,Panzl (Panzi),Africa,Rwanda,Kwilu,Congo,19.00,2,-7.1000000000,18.0020830000,P,1,,,,FAO List of African Dam 2009 Author: Rosnes,AICD_Backround Paper_Irrigation Spending Needs in Africa(2009),,,
Mar-15,4009,Akanyaru,Africa,Rwanda,Kagera,Nile,4.00,1,-2.7914790000,29.6381620000,P,3,,,,Hydropower_Rwanda_Investment_Opportunities,http://www.rwandaenergy.com/2013/08/akanyaru-to-produce-5-1mw-of-hydro-power/,http://allafrica.com/stories/201307290532.html,,
Mar-15,4010,Bougouriba,Africa,Burkina Faso,Mouhoun 1,Volta,12.00,1,10.8367110000,-3.7186090000,P,1,,,,WAPP Energy Report 2011,http://www.ecowrex.org/eg/bougouriba,,,
Mar-15,4011,Bagre Downstream (Bagre 2),Africa,Burkina Faso,Nakambe,Volta,14.00,1,11.2705460000,-0.4830460000,P,1,,,,WAPP Energy Report 2011,,,,
Mar-15,4013,Tihalea,Africa,Togo,Oti,Volta,9.00,3,9.6144670000,0.9680560000,P,1,,,,FAO List of African Dam 2009 Author: Rosnes,http://www.ecowrex.org/eg/tihalea,AICD_Backround Paper_Irrigation Spending Needs in Africa(2009),,
Mar-15,4021,Murchison Base 2,Africa,Uganda,Victoria Nile,Nile,655.00,3,2.2705120000,31.6253220000,P,1,,,,FAO List of African Dam 2009 Author: Rosnes,AICD_Backround Paper_Irrigation Spending Needs in Africa(2009),,,
Mar-15,4022,Oriang,Africa,Uganda,Victoria Nile,Nile,392.00,1,2.2786630000,32.0302630000,P,2,,,,NEMA_Uganda_Executive Summary_Karuma,JICA_Hydropower_Uganda_Masterplan_Study,,,
Mar-15,4023,Kiba,Africa,Uganda,Victoria Nile,Nile,288.00,1,2.3640970000,31.8589580000,P,2,,,,NEMA_Uganda_Executive Summary_Karuma,JICA_Hydropower_Uganda_Masterplan_Study,,,
Mar-15,4024,Ondurusu,Africa,Namibia,Cunene 1,Angola[comma] Coast,58.00,1,-17.3813160000,13.9145830000,P,1,,,,http://www.mme.gov.na/energy/ene_hydropower.php,https://tracks4africa.co.za/listings/item/w137730/ondurusu-falls/,,,
Mar-15,4025,Zebra,Africa,Namibia,Cunene 1,Angola[comma] Coast,30.00,1,-17.0880750000,13.5211070000,P,1,,,,http://www.mme.gov.na/energy/ene_hydropower.php,,,,
Mar-15,4026,Marienfluss (Marien[comma] Marienflus),Africa,Namibia,Cunene 1,Angola[comma] Coast,230.00,1,-17.2303620000,12.3608850000,P,1,,,,http://www.mme.gov.na/energy/ene_hydropower.php,,,,
Mar-15,4027,Hartman,Africa,Namibia,Cunene 1,Angola[comma] Coast,125.00,1,-17.2128760000,12.2057180000,P,1,,,,http://www.mme.gov.na/energy/ene_hydropower.php,,,,
Mar-15,4028,Divundu A,Africa,Namibia,Okavango,Africa[comma] South Interior,19.00,1,-18.1126990000,21.5626990000,P,2,,,,http://www.mme.gov.na/energy/ene_hydropower.php,http://www.mme.gov.na/energy/divundu.html,,,
Mar-15,4029,Onseep,Africa,Namibia,Orange 2,Orange,29.00,1,-28.7326440000,19.3041740000,P,1,,,,http://www.mme.gov.na/energy/ene_hydropower.php,,,,
Mar-15,4030,Vioolsdrift,Africa,Namibia,Orange 2,Orange,44.00,1,-28.7622280000,17.6225900000,P,1,,,,http://www.mme.gov.na/energy/ene_hydropower.php,,,,
Mar-15,4031,Aussenkehr,Africa,Namibia,Orange 2,Orange,30.00,1,-28.3608500000,17.4064670000,P,1,,,,http://www.mme.gov.na/energy/ene_hydropower.php,,,,
Mar-15,4032,Mpanga,Africa,Tanzania,Rufiji 1,Africa[comma] East Central Coast,144.00,2,-7.7895830000,37.9739080000,P,1,,,,FAO List of African Dam 2009 Author: Rosnes,http://www.hydroworld.com/articles/2011/05/mpanga-small-hydro.html,,,
Mar-15,4033,Kihansi (Upper Kihansi),Africa,Tanzania,Rufiji 2,Africa[comma] East Central Coast,120.00,2,-8.5613260000,35.8520830000,P,1,,,,FAO List of African Dam 2009 Author: Rosnes,AICD_Backround Paper_Irrigation Spending Needs in Africa(2009),http://www.tendersinfo.com/details/11714249,EPDC_Upper_Kihansi_PFS_1990,
Mar-15,4034,Kakono,Africa,Tanzania,Kagera,Nile,53.00,1,-1.1145250000,30.9879990000,P,1,,,,EAPP_Regional_Power_Masterplan_2011,http://norplan.com/norplan-awarded-contract-for-kakono-hydro-power-project-in-tanzania-2/,https://webaccess.wipo.int/green/SearchDetailPage.htm?id=NGREEN348,,
Mar-15,4035,;nyera (Ikondo),Africa,Tanzania,Rufiji 2,Africa[comma] East Central Coast,340.00,1,-8.9801740000,35.4150420000,P,1,,,,EAPP_Regional_Power_Masterplan_2011,http://www.ss-gate.org/SSGateInside.aspx?ID=3176,,,
Mar-15,4036,Mnyera (Taveta),Africa,Tanzania,Rufiji 2,Africa[comma] East Central Coast,145.00,1,-9.0229170000,35.6145830000,P,1,,,,http://www.busiweek.com/index1.php?Ctp=2&pI=2095&pLv=3&srI=53&spI=20,http://www.ss-gate.org/SSGateInside.aspx?ID=3176,,,
